OverallQual,GrLivArea,GarageArea,YearBuilt,TotalBsmtSF
9,2018,746,2008,2002
5,996,0,1940,996
6,848,420,2003,848
7,1761,578,2007,874
5,1057,576,1962,1057
8,1593,682,2001,1593
7,1382,490,2000,673
7,1391,530,2004,1391
5,1363,288,1951,1008
7,1459,527,2002,1459
8,1652,499,2000,1494
6,1026,576,1978,940
7,2640,864,1880,1240
6,1640,520,2004,798
7,1108,280,1930,637
4,693,0,1941,693
5,1203,352,1950,709
5,1572,995,1963,1572
7,1560,573,2003,1560
6,1958,492,1946,979
5,894,384,1966,894
8,1269,430,2004,1256
7,1428,554,2008,1417
8,1932,774,2008,1932
9,1684,564,2005,1684
8,3279,841,2003,1650
4,816,288,1938,816
7,2157,487,1966,924
6,1682,523,1998,804
5,698,0,1947,698
5,1687,572,1948,747
6,1224,528,2009,612
5,1728,352,1964,1728
6,1141,484,2005,1141
7,1277,526,1970,1277
4,1123,264,1939,732
8,2524,542,1981,2524
6,1314,440,2006,1314
4,1981,576,1928,1122
5,864,572,1955,864
7,1426,216,1918,912
7,1555,660,2007,1373
